n,N,lambda,p,Dplus,seed_fraction,phase1_fraction,before_exact,after_exact,cell_id,trial,l0,l1,d0,d1,depth,near_boundary
10000,168,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.05357142857142857,0.1488095238095238,0,0,0,0,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,162,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.037037037037037035,0.2222222222222222,0,0,0,1,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,212,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.02830188679245283,0.25943396226415094,0,0,0,2,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,188,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.02127659574468085,0.2127659574468085,0,0,0,3,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,178,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.028089887640449437,0.06179775280898876,0,0,0,4,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,160,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.025,0.06875,0,0,0,5,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,164,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.06097560975609756,0.12195121951219512,0,0,0,6,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,173,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.04046242774566474,0.24855491329479767,0,0,0,7,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,183,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.04371584699453552,0.1092896174863388,0,0,0,8,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,170,0.01768388256576615,0.9330127018922193,0.16666666666666663,0.03529411764705882,0.11764705882352941,0,0,0,9,0.0,0.0353677651315323,0.0,0.3333333333333333,0,0
10000,1120,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.03125,1.0,0,0,1,0,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1073,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.022367194780987885,1.0,0,0,1,1,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1088,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.03308823529411765,1.0,0,0,1,2,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1115,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.03497757847533632,1.0,0,0,1,3,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1118,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.03309481216457961,1.0,0,0,1,4,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1076,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.028810408921933085,1.0,0,0,1,5,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1153,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.026886383347788378,1.0,0,0,1,6,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1133,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.02912621359223301,1.0,0,0,1,7,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1086,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.03222836095764273,1.0,0,0,1,8,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1140,0.11052426603603843,0.7420614591379635,0.04166666666666663,0.02631578947368421,1.0,0,0,1,9,0.0353677651315323,0.18568076694054456,0.0,0.08333333333333333,2,0
10000,1109,0.11052426603603843,0.8903123748998999,0.125,0.032461677186654644,1.0,0,0,2,0,0.0353677651315323,0.18568076694054456,0.08333333333333333,0.16666666666666666,2,0
