cell_id,l0,l1,d0,d1,depth,near_boundary,trials,exact_recovery_frequency,mean_seed_fraction
66,0.11052426603603843,0.12931339126216496,0.26041666666666663,0.2708333333333333,5,0,10,1.0,0.03396063473212039
67,0.12931339126216496,0.14810251648829148,0.25,0.26041666666666663,5,1,20,1.0,0.033706146175462894
68,0.12931339126216496,0.14810251648829148,0.26041666666666663,0.2708333333333333,5,1,20,1.0,0.03360323506345035
69,0.11052426603603843,0.12931339126216496,0.2708333333333333,0.28125,5,1,20,1.0,0.03525597349847613
70,0.11052426603603843,0.12931339126216496,0.28125,0.29166666666666663,5,1,20,0.9,0.03541648849266898
71,0.12931339126216496,0.14810251648829148,0.2708333333333333,0.28125,5,1,20,1.0,0.032981038924997
72,0.12931339126216496,0.14810251648829148,0.28125,0.29166666666666663,5,0,10,1.0,0.03464098923109367
73,0.14810251648829148,0.18568076694054456,0.25,0.2708333333333333,4,0,10,1.0,0.03273068185421425
74,0.14810251648829148,0.18568076694054456,0.2708333333333333,0.29166666666666663,4,0,10,1.0,0.03387265943868843
75,0.11052426603603843,0.12931339126216496,0.29166666666666663,0.3020833333333333,5,1,20,0.95,0.03404847028693855
76,0.11052426603603843,0.12931339126216496,0.3020833333333333,0.3125,5,1,20,1.0,0.03385871527878446
77,0.12931339126216496,0.14810251648829148,0.29166666666666663,0.3020833333333333,5,0,10,1.0,0.035762963016384895
78,0.12931339126216496,0.14810251648829148,0.3020833333333333,0.3125,5,0,10,1.0,0.03341430373133966
79,0.11052426603603843,0.12931339126216496,0.3125,0.32291666666666663,5,1,20,0.95,0.03386483021703805
80,0.11052426603603843,0.12931339126216496,0.32291666666666663,0.3333333333333333,5,0,10,1.0,0.030562366940771364
81,0.12931339126216496,0.14810251648829148,0.3125,0.32291666666666663,5,0,10,1.0,0.03530770044149513
82,0.12931339126216496,0.14810251648829148,0.32291666666666663,0.3333333333333333,5,0,10,1.0,0.03401990031723223
83,0.14810251648829148,0.18568076694054456,0.29166666666666663,0.3125,4,0,10,1.0,0.03146924967297107
84,0.14810251648829148,0.18568076694054456,0.3125,0.3333333333333333,4,0,10,1.0,0.033613977697749195
85,0.18568076694054456,0.2044698921666711,0.16666666666666666,0.17708333333333331,5,1,20,0.9,0.034481391698418316
86,0.18568076694054456,0.2044698921666711,0.17708333333333331,0.1875,5,1,20,0.95,0.03454281487488935
87,0.2044698921666711,0.22325901739279763,0.16666666666666666,0.17708333333333331,5,1,20,1.0,0.033567323933701335
88,0.2044698921666711,0.22325901739279763,0.17708333333333331,0.1875,5,0,10,1.0,0.031151935677648825
89,0.18568076694054456,0.2044698921666711,0.1875,0.19791666666666666,5,1,20,1.0,0.03276116747247177
90,0.18568076694054456,0.2044698921666711,0.19791666666666666,0.20833333333333331,5,0,10,0.9,0.033347749380849126
91,0.2044698921666711,0.22325901739279763,0.1875,0.19791666666666666,5,0,10,1.0,0.03470783195305731
92,0.2044698921666711,0.22325901739279763,0.19791666666666666,0.20833333333333331,5,0,10,1.0,0.031185589222021727
93,0.22325901739279763,0.2608372678450507,0.16666666666666666,0.1875,4,0,10,1.0,0.032056545487673706
94,0.22325901739279763,0.2608372678450507,0.1875,0.20833333333333331,4,0,10,1.0,0.03271774180450278
95,0.18568076694054456,0.2608372678450507,0.20833333333333331,0.25,3,0,10,1.0,0.032461900755282894
96,0.2608372678450507,0.33599376874955683,0.16666666666666666,0.20833333333333331,3,0,10,1.0,0.034793610314913716
97,0.2608372678450507,0.33599376874955683,0.20833333333333331,0.25,3,0,10,1.0,0.033808962052756256
98,0.18568076694054456,0.33599376874955683,0.25,0.3333333333333333,2,0,10,1.0,0.03368257035434831
99,0.33599376874955683,0.411150269654063,0.0,0.041666666666666664,3,0,10,0.0,0.03450896950666962
100,0.33599376874955683,0.411150269654063,0.041666666666666664,0.08333333333333333,3,0,10,0.6,0.03192941134833255
101,0.411150269654063,0.4863067705585691,0.0,0.041666666666666664,3,0,10,0.0,0.03291272967833598
102,0.411150269654063,0.44872852010631603,0.041666666666666664,0.0625,4,0,10,0.7,0.033114525656304496
